,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
1,-114.47,34.4,19.0,7650.0,1901.0,1129.0,463.0,1.82,80100.0
2,-114.56,33.69,17.0,720.0,174.0,333.0,117.0,1.6509,85700.0
3,-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3.1917,73400.0
10,-114.6,33.62,16.0,3741.0,801.0,2434.0,824.0,2.6797,86500.0
23,-114.98,33.82,15.0,644.0,129.0,137.0,52.0,3.2097,71300.0
27,-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1.9375,80900.0
32,-115.39,32.76,16.0,1136.0,196.0,481.0,185.0,6.2558,146300.0
33,-115.4,32.86,19.0,1087.0,171.0,649.0,173.0,3.3182,113800.0
34,-115.4,32.7,19.0,583.0,113.0,531.0,134.0,1.6838,95800.0
38,-115.48,32.68,15.0,3414.0,666.0,2097.0,622.0,2.3319,91200.0
39,-115.49,32.87,19.0,541.0,104.0,457.0,106.0,3.3583,102800.0
43,-115.5,32.75,13.0,330.0,72.0,822.0,64.0,3.4107,142500.0
44,-115.5,32.68,18.0,3631.0,913.0,3565.0,924.0,1.5931,88400.0
49,-115.51,32.68,11.0,2872.0,610.0,2644.0,581.0,2.625,72700.0
56,-115.52,32.77,18.0,1715.0,337.0,1166.0,333.0,2.2417,79200.0
65,-115.54,32.99,17.0,1697.0,268.0,911.0,254.0,4.3523,96000.0
75,-115.55,32.78,5.0,2652.0,606.0,1767.0,536.0,2.8025,84300.0
85,-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4.4821,140300.0
90,-115.57,32.8,16.0,2276.0,594.0,1184.0,513.0,1.875,93800.0
93,-115.57,32.78,15.0,1413.0,279.0,803.0,277.0,4.3021,87500.0
95,-115.58,32.81,5.0,805.0,143.0,458.0,143.0,4.475,96300.0
96,-115.58,32.81,10.0,1088.0,203.0,533.0,201.0,3.6597,87500.0
98,-115.58,32.78,5.0,2494.0,414.0,1416.0,421.0,5.7843,110100.0
100,-115.59,32.79,8.0,2183.0,307.0,1000.0,287.0,6.3814,159900.0
103,-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4.1293,83200.0
108,-115.72,32.75,16.0,348.0,99.0,123.0,54.0,2.0938,87500.0
129,-116.02,34.18,8.0,569.0,97.0,312.0,96.0,4.3021,94500.0
131,-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1.7292,81300.0
134,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425,76100.0
137,-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1.654,100000.0
139,-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3.0139,82600.0
146,-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375,155000.0
154,-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1.7083,82200.0
156,-116.21,33.66,19.0,1596.0,295.0,1201.0,282.0,3.8846,100900.0
162,-116.22,33.7,9.0,3861.0,849.0,825.0,401.0,3.2833,124700.0
165,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2.444,90000.0
166,-116.24,33.73,14.0,2774.0,566.0,1530.0,505.0,3.0682,104100.0
168,-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2.7598,95000.0
171,-116.25,33.69,5.0,1664.0,444.0,907.0,374.0,2.7667,92900.0
172,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948,382400.0
173,-116.26,33.07,17.0,934.0,284.0,452.0,184.0,1.9875,83700.0
175,-116.29,33.74,6.0,12991.0,2555.0,4571.0,1926.0,4.7195,199300.0
176,-116.29,33.72,5.0,3584.0,760.0,1097.0,470.0,3.1771,167400.0
177,-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2.8882,137500.0
179,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2.9187,93400.0
180,-116.31,33.67,11.0,4686.0,851.0,2466.0,731.0,3.3333,91800.0
181,-116.31,33.66,7.0,4497.0,831.0,2248.0,713.0,3.6354,98000.0
183,-116.32,34.1,10.0,4256.0,861.0,1403.0,686.0,2.6618,81000.0
